"size","gender","age","edu","wealthC"
11,"2",31,2,4
11,"1",1,0,4
11,"1",5,0,4
11,"1",3,0,4
11,"2",22,2,4
11,"2",12,1,4
6,"2",65,0,4
6,"2",18,1,4
6,"2",6,0,4
6,"1",3,0,4
6,"2",7,0,4
6,"2",27,0,4
4,"1",26,2,5
4,"1",18,2,5
4,"1",22,2,5
4,"1",27,2,5
10,"1",60,3,5
10,"2",45,0,5
10,"2",11,1,5
10,"2",15,1,5
10,"1",12,1,5
10,"1",9,0,5
10,"2",7,1,5
10,"2",7,0,5
10,"2",1,0,5
10,"2",12,1,5
7,"1",58,3,4
7,"2",58,0,4
7,"2",15,2,4
7,"2",7,0,4
7,"2",5,0,4
7,"1",18,1,4
7,"2",27,2,4
4,"1",40,2,5
4,"2",34,2,5
4,"1",8,0,5
4,"2",13,1,5
1,"1",22,2,3
3,"2",32,2,5
3,"1",35,3,5
3,"1",3,0,5
8,"2",71,0,5
8,"2",32,2,5
8,"2",12,1,5
8,"1",16,1,5
8,"1",5,0,5
8,"2",6,0,5
8,"2",0,0,5
8,"1",35,2,5
1,"1",32,3,4
5,"1",33,2,5
5,"2",26,2,5
5,"1",6,0,5
5,"1",4,0,5
5,"2",9,1,5
9,"1",43,3,5
9,"2",22,3,5
9,"2",15,2,5
9,"1",16,2,5
9,"1",15,2,5
9,"2",9,1,5
9,"2",10,1,5
9,"2",2,0,5
9,"1",21,2,5
4,"1",48,2,4
4,"2",45,1,4
4,"1",19,2,4
4,"1",14,1,4
6,"1",35,2,3
6,"2",34,2,3
6,"1",11,1,3
6,"1",9,1,3
6,"2",3,0,3
6,"2",75,0,3
1,"1",45,1,3
3,"1",24,2,4
3,"2",23,2,4
3,"1",2,0,4
5,"1",35,3,4
5,"2",34,2,4
5,"2",14,1,4
5,"1",7,0,4
5,"2",8,1,4
14,"1",58,2,5
14,"2",46,2,5
14,"1",22,3,5
14,"1",20,3,5
14,"2",20,2,5
14,"2",19,2,5
14,"1",19,2,5
14,"1",16,2,5
14,"2",13,2,5
14,"2",11,1,5
14,"1",9,1,5
14,"1",6,0,5
14,"1",5,0,5
