"","location","size","wealth","gender","age","education"
"827",2,3,4,2,58,0
"828",2,9,2,2,70,0
"829",2,10,3,1,56,1
"830",2,4,3,1,28,2
"831",2,5,3,2,36,0
"832",2,6,2,1,49,0
"833",2,4,3,2,49,2
"834",2,4,2,2,34,0
"835",2,9,4,2,39,1
"836",2,6,2,2,40,0
"837",2,6,3,2,74,0
"838",2,4,2,1,60,0
"839",2,5,4,2,44,1
"840",2,6,2,1,35,0
"841",2,5,3,1,39,0
"842",2,7,3,1,52,2
"843",2,4,2,2,73,0
"844",2,7,3,1,64,0
"845",2,4,2,1,30,1
"846",12,4,2,1,46,2
"847",12,3,3,2,50,2
"848",12,6,1,2,38,1
"849",12,7,2,1,40,2
"850",12,5,1,2,67,0
"851",12,5,3,1,45,2
"852",12,4,3,1,52,3
"853",12,3,1,2,22,0
"854",12,13,3,1,54,3
"855",12,9,2,1,54,2
"856",12,3,1,2,21,1
"857",12,3,2,2,51,1
"858",12,2,1,1,38,0
"859",12,7,1,1,43,2
"860",12,5,1,2,45,0
"861",12,6,3,1,41,2
"862",12,6,1,1,27,2
"863",12,1,1,1,29,0
"864",12,3,1,2,85,0
"865",12,7,2,1,54,1
"866",12,5,2,1,48,2
"867",12,6,2,1,75,0
"868",12,17,1,1,57,1
"869",12,4,1,1,19,2
"870",12,2,1,2,15,2
"871",12,7,1,2,28,0
"872",12,7,2,1,31,2
"873",12,4,1,1,29,1
"874",12,6,1,2,28,2
"875",12,8,1,1,58,2
"876",9,1,1,2,48,0
"877",9,3,1,2,47,0
"878",9,5,1,1,31,0
"879",9,3,1,2,34,0
"880",9,5,1,2,55,0
"881",9,7,1,1,43,1
"882",9,3,1,1,43,2
"883",9,4,1,1,27,2
"884",9,4,1,1,42,0
"885",9,1,1,1,52,2
"886",9,5,1,2,28,0
"887",9,2,1,2,55,0
"888",9,5,1,1,32,0
"889",9,6,1,1,35,0
"890",9,5,1,2,48,0
"891",9,6,2,1,32,1
"892",9,7,1,1,37,1
"893",9,2,1,1,27,1
"894",9,5,1,2,42,0
"895",9,6,1,1,29,0
"896",9,1,1,1,39,2
"897",9,5,1,1,41,0
"898",9,2,1,1,78,0
"899",9,7,1,2,42,0
"900",9,5,1,1,30,1
"901",9,3,1,2,37,0
"902",9,1,1,1,44,0
"903",9,6,2,2,79,0
"904",9,1,1,2,21,0
"905",9,2,1,1,70,0
"906",9,6,1,1,50,0
"907",7,6,2,2,59,0
"908",7,6,2,2,53,1
"909",7,3,1,1,32,2
"910",7,9,3,1,48,2
"911",7,2,2,2,29,2
"912",7,5,1,1,27,0
"913",7,2,1,2,39,0
"914",7,4,3,1,38,2
"915",7,4,1,2,32,0
"916",7,4,2,2,23,2
"917",7,3,2,1,24,1
"918",7,2,2,1,30,2
"919",7,8,2,1,35,2
"920",7,3,1,2,22,1
"921",7,2,1,2,36,0
"922",7,2,1,1,25,2
"923",7,5,2,1,40,2
"924",7,3,1,1,30,2
"925",7,3,1,2,16,1
"926",7,5,2,1,48,2
